gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
CCNA2,83.3864238566196,3.73821460349552,0.143669567292171,3.72482316732156e-150,9.40219863895307e-146
PLK1,78.6136064575055,3.87928514793701,0.151319788655925,7.63369227866072e-146,9.6344830248977e-142
TK1,180.077096481836,3.21426137676631,0.126638586225704,3.33495386580475e-143,2.80603018268811e-139
RRM2,330.048649918343,3.82992591551423,0.15635428684575,1.29047516901747e-133,8.14354355408473e-130
SHCBP1,76.8702489437404,3.19000049584759,0.136905473230781,5.16709496951672e-121,2.60855622441082e-117
TPX2,97.5206714323931,3.18833301315598,0.139212564984039,4.47578360570362e-117,1.88296216291951e-113
UHRF1,107.444613932654,2.81890961756247,0.123332276011959,2.36189088289615e-116,8.51697852372352e-113
FOXM1,49.0693028964227,3.08480706151305,0.139842685656239,9.62863456300623e-109,3.03807492049254e-105
AURKB,54.0623457046491,3.23177304314536,0.150075224952664,6.44982943633477e-104,1.80896216257736e-100
IGHG1,15392.5654581335,5.26067779712039,0.245560205898941,5.52068901760386e-103,1.39353232182357e-99
BIRC5,85.7514113813899,3.85430732119199,0.181970167975183,1.21823481038397e-100,2.79551664397383e-97
IGHV1-24,325.822316516272,5.76519678520344,0.273343660239419,5.15432600107609e-100,1.08421247432636e-96
TOP2A,161.852597545723,3.17703123502869,0.150749304972824,1.06046666540208e-99,2.05909996677534e-96
UBE2C,54.9524265567817,3.56191108388112,0.174555317647291,2.07945832132503e-93,3.74926335334904e-90
MKI67,239.616859576177,3.16592681477782,0.156357622401641,3.68014335103208e-92,6.19294523111679e-89
CCNB2,62.2289484465185,3.42428777754739,0.169506178932648,8.13768225720384e-92,1.28382109710212e-88
MCM10,34.9802053764556,3.52380243823016,0.176029396479039,5.25820227100577e-90,7.80750245439574e-87
MYBL2,361.696901337101,3.43885621176367,0.172497490990739,2.27029290206791e-89,3.18370741299989e-86
DTL,55.3119389292491,3.15633765703095,0.158591576383963,3.17302240088801e-89,4.21544376016922e-86
IGLV3-25,800.571309936743,4.64773232753381,0.235312694625282,5.6886682180837e-88,7.17966815804343e-85
BUB1,90.1239600260359,3.11971474845098,0.158828806149079,5.85066841726406e-87,7.0325034375514e-84
CDC20,81.8146012783083,3.65114474316088,0.18709231723666,6.4030259271284e-86,7.34659911148068e-83
MZB1,744.624868763715,3.66052238804078,0.188733765878814,5.84884343169662e-85,6.41897851751678e-82
IGLV9-49,76.0864355410223,4.4114981955204,0.227428734664068,1.18688109245011e-84,1.2483021889844e-81
TYMS,32.259977285231,2.94377241551316,0.154643677621967,9.14315987396731e-82,9.23166566154732e-79
IFI27,1290.30899853155,8.68668205465682,0.457392270758197,1.48051450229109e-81,1.43735181026276e-78
CDT1,50.2547732663787,2.803456858919,0.147770334090586,2.64289087785628e-81,2.47080931625363e-78
HJURP,37.4075948290842,3.22486829873588,0.170142013119198,5.39602609676009e-81,4.86451752622922e-78
NCAPG,39.5253581298013,3.2399857441163,0.17154885020498,1.10400372762273e-80,9.6094007216045e-78
IGHV1-18,263.040319475808,3.65274962456847,0.19350545805378,1.26661445195391e-80,1.06572939987402e-77
PKMYT1,44.936594656818,3.21458388445907,0.170245430774843,1.46480366563476e-80,1.19272819767589e-77
ZWINT,111.036870699129,2.34885832637883,0.125581387908568,1.69123200570634e-79,1.33406494650123e-76
IGHV4-59,283.43547801248,3.78902507206085,0.202987502500496,6.24657951021851e-79,4.77806545445259e-76
SLC38A5,280.111432398695,1.59561417691786,0.0864265370974586,5.27907190045263e-77,3.91924508562428e-74
KIF2C,45.0094098452913,2.91710469940715,0.159153213130166,4.20306731718539e-76,3.0312521491541e-73
ASPM,35.4308973670267,2.94550575148941,0.161917079903827,7.13076373455058e-75,4.99985383854238e-72
GINS2,48.2320306961335,2.81567757736208,0.155375796901301,1.86471645710066e-74,1.27213980567932e-71
CDC6,44.177897283523,2.94325145472942,0.163280300323529,1.03077789221151e-73,6.84707777768497e-71
CLSPN,41.4412646916367,2.65011952129513,0.14758069237938,3.68406148198326e-73,2.38443794687747e-70
GTSE1,24.440658555968,3.14305871117983,0.175030024957965,4.83317153155259e-73,3.04997289498626e-70
H1-5,21.8586410991637,3.28359650280317,0.183465790409985,1.17017332795393e-72,7.20427198639341e-70
RAD51,42.6286295482622,2.53001223537182,0.141514975405161,2.16995853168496e-72,1.30414507754266e-69
CDC45,42.3875577380546,3.02175808412547,0.169959391579543,9.53834368175878e-72,5.59922956313849e-69
CEP55,28.8462613221066,3.45749340517664,0.194452679164626,1.02057996654152e-71,5.85488170805476e-69
MELK,25.1316623988423,3.14521050259474,0.177321912314609,1.98872868027545e-71,1.11554420772251e-68
DLGAP5,36.0547283656455,3.7875488469623,0.216197948919905,8.9333272214162e-70,4.9020662113693e-67
KIF11,83.1929802321579,2.29149348032148,0.131393730447411,2.47398500764749e-69,1.32868786304336e-66
CDCA5,45.4461688633816,2.86071091873972,0.165603402993349,6.41958771756835e-68,3.37590069097625e-65
TRIP13,34.2614198695297,3.0565255070626,0.178326397866899,6.19855582225254e-67,3.19314175643467e-64
KCNN3,27.5201688108218,3.9888616998994,0.233035999523911,8.01120188825324e-67,4.04437516126577e-64
IGKV1-5,647.624654846781,3.11009432694592,0.18204049099702,1.89873350029193e-66,9.39761392438608e-64
IGHG3,3339.67230895686,4.27651431969546,0.252298992854465,1.72349807349079e-65,8.36625737904893e-63
CDKN3,37.9973711640954,2.75750018732443,0.162637478602607,1.8579830557809e-65,8.84890722528708e-63
CDCA3,28.3928581714808,2.41554755607141,0.142521434667862,2.00250959616856e-65,9.36061985675679e-63
GGH,57.6402025401375,2.42629233553745,0.143360256006871,2.71710374122411e-65,1.24700241156325e-62
