gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
C1D,194.920005592787,-2.99454752360915,0.32179501073824,1.11714701344394e-21,1.33348758777937e-17
IGLV3-25,800.571309936743,-6.78998412332804,0.768975466491619,1.57241623463165e-21,1.33348758777937e-17
IGLV1-44,483.137566444796,-5.6831936555174,0.716481790306426,5.63549245530272e-18,3.18611958447965e-14
CCNA2,83.3864238566196,-4.05990405153454,0.510682194211791,6.29028989035747e-17,2.62081296678719e-13
IGHG1,15392.5654581335,-5.86000752256738,0.783407123383358,7.7259977795743e-17,2.62081296678719e-13
IGHV3-33,290.38944357923,-5.17740536614791,0.699037768870147,4.95412161691463e-16,1.40044761240815e-12
IGLV2-11,399.360353645426,-6.7328688854748,0.934224622359642,1.52468956052017e-15,3.69432280514037e-12
IGHV4-59,283.43547801248,-4.76701666542647,0.668665298663837,4.3490950921632e-15,9.2206252322725e-12
IGHV3-21,359.208329211684,-4.29422610259261,0.61793289809645,1.01752653704247e-14,1.91758528830859e-11
MZB1,744.624868763715,-4.18858432358916,0.602691584418032,1.36618660962791e-14,2.26476626391966e-11
IGHV1-24,325.822316516272,-6.29830788922656,0.917148262945255,1.46880660946385e-14,2.26476626391966e-11
IGHV1-18,263.040319475808,-4.38223563124624,0.631115628601422,2.29113228228001e-14,3.23832455331261e-11
IGKV1-5,647.624654846781,-4.00015940865784,0.582401507194646,2.7845335073118e-14,3.63295944750118e-11
IGHV3-23,745.463330672333,-4.36095947030295,0.64133194047909,3.49351683086036e-14,4.23239564058732e-11
BIRC5,85.7514113813899,-4.307492965111,0.626373506062609,8.45201044465662e-14,9.55696994345473e-11
PLK1,78.6136064575055,-3.34450402396086,0.490986436574286,1.8082551011993e-13,1.91686342321508e-10
IGLV4-69,227.093570097144,-5.29534980401934,0.815615283085216,3.07053190809569e-13,3.06348774665947e-10
SPAG5,123.357967452565,-2.5564301987665,0.38541182576094,6.9966942446369e-13,6.59282950462703e-10
IGLV1-47,452.962004726176,-4.84517062934764,0.769612202204394,7.75502355739444e-13,6.92278708194564e-10
IGKV4-1,1104.30861483609,-4.69970890071242,0.750141851074161,8.78538614802318e-13,7.45044672283106e-10
IGHV3-7,297.744022054025,-4.47721426234818,0.707093060712118,9.78179628873091e-13,7.90043080253166e-10
MYBL2,361.696901337101,-3.52894656784417,0.553717600136353,1.11585167021746e-12,8.60270917207198e-10
IGLV6-57,378.867222906665,-5.31901749255156,0.856769232215276,1.21705457619675e-12,8.97498376820571e-10
RRM2,330.048649918343,-3.13641636217603,0.496934116878536,1.80121375500153e-12,1.27293277077421e-09
